,"SPDR S&P 500 ETF Trust - GJR-GARCH Volatility"
2013-01-29,0.08333595022557791
2013-01-30,0.08659601515081397
2013-01-31,0.0869248972389384
2013-02-01,0.08584647063216987
2013-02-04,0.11438945003801707
2013-02-05,0.11081116044875625
2013-02-06,0.1073350949130805
2013-02-07,0.10453662956112561
2013-02-08,0.10165349910357244
2013-02-11,0.098965990521997
2013-02-12,0.09651203386106832
2013-02-13,0.09427427708553378
2013-02-14,0.09224132739721387
2013-02-15,0.09075193882226429
2013-02-19,0.08917865619081732
2013-02-20,0.12237778474870346
2013-02-21,0.12505268889552118
2013-02-22,0.12059997462686302
2013-02-25,0.17504011540215575
2013-02-26,0.1668789848962415
2013-02-27,0.15942598408038758
2013-02-28,0.15287604390485776
2013-03-01,0.146211111752835
2013-03-04,0.14005131059722362
2013-03-05,0.13442432592354706
2013-03-06,0.12909327046751895
2013-03-07,0.1241685090512083
2013-03-08,0.11965051608747869
2013-03-11,0.11548231500970182
2013-03-12,0.11266141699801223
2013-03-13,0.10903537205879568
2013-03-14,0.10576281709561258
2013-03-15,0.1030989708969008
2013-03-18,0.10712012752046182
2013-03-19,0.10515318825408956
2013-03-20,0.10225327378622164
2013-03-21,0.11538189234017615
2013-03-22,0.11165147522536367
2013-03-25,0.11178717529305407
2013-03-26,0.1083535346908443
2013-03-27,0.10508168822397174
2013-03-28,0.10210707556286196
2013-04-01,0.10297888812761576
2013-04-02,0.10021731586906527
2013-04-03,0.11976402498246291
2013-04-04,0.11559047728943764
2013-04-05,0.1158436922754105
2013-04-08,0.11204039396574791
2013-04-09,0.1084848931418564
2013-04-10,0.10549995374406569
2013-04-11,0.10249219599559764
2013-04-12,0.10111830991467372
2013-04-15,0.18757449080298738
2013-04-16,0.17876577860429552
2013-04-17,0.19761473426847503
2013-04-18,0.19267761987319648
2013-04-19,0.18336162957391058
2013-04-22,0.1746034948103846
2013-04-23,0.16654681504009616
2013-04-24,0.15890889842925726
2013-04-25,0.15182488373122502
2013-04-26,0.14571731235512136
2013-04-29,0.13961831369845432
2013-04-30,0.13390671036210247
2013-05-01,0.14190635376895566
2013-05-02,0.13615065758195954
2013-05-03,0.1308522790019341
2013-05-06,0.12579870921436356
2013-05-07,0.1211666775974319
2013-05-08,0.11688945700960374
2013-05-09,0.11453805603379168
2013-05-10,0.11077480236949196
2013-05-13,0.1073019507744384
2013-05-14,0.10433367375876305
2013-05-15,0.10146398809429875
2013-05-16,0.10384737358258032
2013-05-17,0.10115386636209216
2013-05-20,0.09850122537308863
2013-05-21,0.09608730904755321
2013-05-22,0.10669575474216395
2013-05-23,0.1054249839459319
2013-05-24,0.10256217197388129
2013-05-28,0.09986119065983541
2013-05-29,0.1069472793482845
2013-05-30,0.10382180580205683
2013-05-31,0.14097808936143236
2013-06-03,0.1352045543611605
2013-06-04,0.13388925453523146
2013-06-05,0.16047290238541834
2013-06-06,0.15336863942801346
2013-06-07,0.14688359676968699
2013-06-10,0.14063256891630757
2013-06-11,0.15220363569902
2013-06-12,0.15617935919960743
2013-06-13,0.14958758584855897
2013-06-14,0.14941751825003655
2013-06-17,0.14307158585826887
2013-06-18,0.1371933161637257
2013-06-19,0.1621872140459907
2013-06-20,0.23058071038141936
