,"美国iShares安硕MSCI英国指数ETF - 指数GARCH模型波动率预测"
1999-06-18,0.2126777082818037
1999-06-21,0.2042436662420649
1999-06-22,0.1966708661698524
1999-06-23,0.19607690634034391
1999-06-24,0.20700930413872706
1999-06-25,0.19560659804822536
1999-06-28,0.22549586160282414
1999-06-29,0.22291268604545594
1999-06-30,0.21712206889213267
1999-07-01,0.21362458004639823
1999-07-02,0.2424838741030009
1999-07-06,0.2333211923508021
1999-07-07,0.2216425825512778
1999-07-08,0.20746451359208398
1999-07-09,0.23709979164900166
1999-07-12,0.22164968847259858
1999-07-13,0.22506581437437362
1999-07-14,0.22105621276046505
1999-07-15,0.21364097640668092
1999-07-16,0.2063287900415257
1999-07-19,0.22872505241009347
1999-07-20,0.25696248831298313
1999-07-21,0.2466981775368436
1999-07-22,0.2660230779462564
1999-07-23,0.2719768828411709
1999-07-26,0.2605881094754709
1999-07-27,0.2587845211754366
1999-07-28,0.25320004265402485
1999-07-29,0.2925060614756556
1999-07-30,0.2862881562342389
1999-08-02,0.27345658741379775
1999-08-03,0.2600411075195612
1999-08-04,0.25989730510338116
1999-08-05,0.30446817764751705
1999-08-06,0.2832828946477355
1999-08-09,0.28177135198596753
1999-08-10,0.28652242215924395
1999-08-11,0.27394070234267853
1999-08-12,0.26404665951304895
1999-08-13,0.2531775487676583
1999-08-16,0.25388107924774544
1999-08-17,0.23891772475059278
1999-08-18,0.22658373021909584
1999-08-19,0.24786563537529763
1999-08-20,0.24177386211085763
1999-08-23,0.23968956172516148
1999-08-24,0.24127857675309675
1999-08-25,0.2299342323361182
1999-08-26,0.22060323297721635
1999-08-27,0.20651002009587818
1999-08-30,0.19912176777037713
1999-08-31,0.21895377868399532
1999-09-01,0.2121595164021638
1999-09-02,0.21619045769876152
1999-09-03,0.2058811676671764
1999-09-07,0.20451763738122933
1999-09-08,0.19888433422469454
1999-09-09,0.1882167771480534
1999-09-10,0.20144062450260625
1999-09-13,0.23502711503143633
1999-09-14,0.22548211547703734
1999-09-15,0.2363279204833826
1999-09-16,0.22447845152708978
1999-09-17,0.21586605013294705
1999-09-20,0.20949425099510488
1999-09-21,0.22829076722460767
1999-09-22,0.2193984484904121
1999-09-23,0.21461254390179527
1999-09-24,0.2137581914219897
1999-09-27,0.21325272893916272
1999-09-28,0.2112951263044181
1999-09-29,0.2231685945647371
1999-09-30,0.2215167415795023
1999-10-01,0.21300436896927724
1999-10-04,0.2012300981463757
1999-10-05,0.2002377726604049
1999-10-06,0.19498393780001472
1999-10-07,0.19183730294184184
1999-10-08,0.1817217950604715
1999-10-11,0.17439409508352052
1999-10-12,0.19497863883000108
1999-10-13,0.22189041619682454
1999-10-14,0.21336413381822167
1999-10-15,0.24628289831005318
1999-10-18,0.2419583823718451
1999-10-19,0.23707024275518002
1999-10-20,0.22713447558660046
1999-10-21,0.2585722954997306
1999-10-22,0.24510394366472363
1999-10-25,0.23423028668385307
1999-10-26,0.22102349286897086
1999-10-27,0.2320172691848605
1999-10-28,0.22605839864955252
1999-10-29,0.22603197738373215
1999-11-01,0.21149450205620002
1999-11-02,0.20369975257716935
1999-11-03,0.19752404613109767
1999-11-04,0.19681829183284769
1999-11-05,0.19352216617225015
1999-11-08,0.19291315662753536
1999-11-09,0.1844058296258554
1999-11-10,0.1785669051084215
1999-11-11,0.17479361429983648
1999-11-12,0.18235118425719093
1999-11-15,0.17657512735376973
1999-11-16,0.17808841961228136
1999-11-17,0.16738876306371345
1999-11-18,0.16873190569658128
1999-11-19,0.1977545751683131
1999-11-22,0.18915993233240488
1999-11-23,0.18810273682219514
1999-11-24,0.18776597135796466
1999-11-26,0.18495252796325873
1999-11-29,0.19159261781185621
1999-11-30,0.19694667095434742
1999-12-01,0.18811204746108104
1999-12-02,0.18212336588148156
1999-12-03,0.1760945927619585
1999-12-06,0.174468280211619
1999-12-07,0.1819573873191193
1999-12-08,0.17095562582143942
1999-12-09,0.164394842984809
1999-12-10,0.15637300790098016
1999-12-13,0.1525158740590631
1999-12-14,0.1751078387737111
1999-12-15,0.19503440004265915
1999-12-16,0.18824582863904316
1999-12-17,0.18532609206477105
1999-12-20,0.17942955609374953
1999-12-21,0.17259080045008193
1999-12-22,0.18650357959031244
1999-12-23,0.17679911990731179
1999-12-27,0.17685683701796773
1999-12-28,0.1782465494757192
1999-12-29,0.19157801752810785
1999-12-30,0.19043409253597424
1999-12-31,0.18038477873700984
2000-01-03,0.18165091907281944
2000-01-04,0.2695770019864454
2000-01-05,0.2513984820956563
2000-01-06,0.24021519102671254
2000-01-07,0.24251245163908597
2000-01-10,0.23360976691910806
2000-01-11,0.24855312671539662
2000-01-12,0.23551730382288263
2000-01-13,0.22213037252928744
2000-01-14,0.2148513625742225
2000-01-18,0.25799582089638584
2000-01-19,0.2426385163159386
2000-01-20,0.2637301893981802
2000-01-21,0.24945893850491707
2000-01-24,0.263878062748687
2000-01-25,0.2519106341542572
2000-01-26,0.23522528435523252
2000-01-27,0.22718506200892702
2000-01-28,0.29776574013811596
2000-01-31,0.27892675812836604
2000-02-01,0.2599498043853852
2000-02-02,0.24641669829782234
2000-02-03,0.23703154726744707
2000-02-04,0.291737220799815
2000-02-07,0.2912984304798088
2000-02-08,0.298770131037224
2000-02-09,0.2815782420571589
2000-02-10,0.29390548480761636
2000-02-11,0.3346668175962475
2000-02-14,0.3446038664902064
2000-02-15,0.3220227948453339
2000-02-16,0.3088451087519438
2000-02-17,0.2908997827431296
2000-02-18,0.28934163751523906
2000-02-22,0.27128553960725593
2000-02-23,0.26244786682310833
2000-02-24,0.30000333598145207
2000-02-25,0.279206871691941
2000-02-28,0.2620366310270379
2000-02-29,0.25624317668964375
2000-03-01,0.25036917302255884
2000-03-02,0.23381307149088137
2000-03-03,0.22813291652017254
2000-03-06,0.2387280570021044
2000-03-07,0.2632764995209409
2000-03-08,0.2513120108550326
2000-03-09,0.25554471937412443
2000-03-10,0.25108835098427007
2000-03-13,0.3022231566243725
2000-03-14,0.2998117989672855
2000-03-15,0.29769142547275357
2000-03-16,0.3048773523894486
2000-03-17,0.34002577019984825
2000-03-20,0.3210787081075293
2000-03-21,0.29983596315318817
2000-03-22,0.2793332010341771
2000-03-23,0.26200051679338343
2000-03-24,0.2586734373684318
2000-03-27,0.26520910844086787
