,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
2012-08-24,0.19091760526467955
2012-08-27,0.18474926576308767
2012-08-28,0.17653159377289945
2012-08-29,0.17124665368993344
2012-08-30,0.19843858697340092
2012-08-31,0.19511035954044062
2012-09-04,0.18677793766930825
2012-09-05,0.1803597005985539
2012-09-06,0.18912862289986673
2012-09-07,0.1918528686259343
2012-09-10,0.19858609619004047
2012-09-11,0.19986200839579293
2012-09-12,0.19373462984195677
2012-09-13,0.19086367805321158
2012-09-14,0.18732477572387482
2012-09-17,0.18156620610675325
2012-09-18,0.18846056351396173
2012-09-19,0.18080388491401395
2012-09-20,0.17870458863722555
2012-09-21,0.17290458293521316
2012-09-24,0.17512381220153928
2012-09-25,0.18724040910017262
2012-09-26,0.2004821508264514
2012-09-27,0.19520236269061908
2012-09-28,0.21778291668540029
2012-10-01,0.20928887595856593
2012-10-02,0.20189659432491674
2012-10-03,0.19048767834167124
2012-10-04,0.18656862758781284
2012-10-05,0.18010208105405112
2012-10-08,0.19501540554530558
2012-10-09,0.2216196715095481
2012-10-10,0.21111191629086218
2012-10-11,0.20468538980591652
2012-10-12,0.19330132125777102
2012-10-15,0.1871479927757709
2012-10-16,0.18816408477709023
2012-10-17,0.18227281091813996
2012-10-18,0.17463647041783684
2012-10-19,0.19233622123770655
2012-10-22,0.18362963486322137
2012-10-23,0.22658790082438207
2012-10-24,0.221196556935229
2012-10-25,0.21164654497534327
2012-10-26,0.2012529512827079
2012-10-31,0.1934727422661911
2012-11-01,0.18751174043243268
2012-11-02,0.19748493917258603
2012-11-05,0.1872310551163989
2012-11-06,0.1823004596812636
2012-11-07,0.21700260643595967
2012-11-08,0.2251854195990495
2012-11-09,0.2267232092221703
2012-11-12,0.21577041965941487
2012-11-13,0.2208870317605812
2012-11-14,0.22298027894861017
2012-11-15,0.2102088161804828
2012-11-16,0.21073425635145324
2012-11-19,0.21252646235233863
2012-11-20,0.20474896922817465
2012-11-21,0.1954584518510264
2012-11-23,0.20229268498885472
2012-11-26,0.19085390747899295
2012-11-27,0.1849089905872616
2012-11-28,0.17928968849323154
2012-11-29,0.17281252037974565
2012-11-30,0.16679205736485178
2012-12-03,0.16019911235709142
2012-12-04,0.1555571124699864
