,"iShares MSCI United Kingdom ETF - GARCH Volatility"
2022-03-29,0.21907626069476355
2022-03-30,0.2093738063846574
2022-03-31,0.2044179923587941
2022-04-01,0.19924524787306724
2022-04-04,0.18984471233089426
2022-04-05,0.18114935053706377
2022-04-06,0.17296738767756192
2022-04-07,0.1666736391874852
2022-04-08,0.15959549993655836
2022-04-11,0.16151966567573126
2022-04-12,0.1565464092210358
2022-04-13,0.1614483496354175
2022-04-14,0.15452044058958672
2022-04-18,0.14984930870711416
2022-04-19,0.1441664300730236
2022-04-20,0.14013135837491908
2022-04-21,0.1492556398934392
2022-04-22,0.18134025035826987
2022-04-25,0.1832780510590398
2022-04-26,0.2166373098060443
2022-04-27,0.21032021586143354
2022-04-28,0.21126477131788918
2022-04-29,0.20254049372903185
2022-05-02,0.19462923521403458
2022-05-03,0.19839477009235904
2022-05-04,0.20083272741264058
2022-05-05,0.24455796122800827
2022-05-06,0.24260569490430353
2022-05-09,0.26958457374263833
2022-05-10,0.2586662281783225
2022-05-11,0.24852884339649595
2022-05-12,0.23724546275956468
2022-05-13,0.27349353849771296
2022-05-16,0.26581416666536045
2022-05-17,0.2707217087712029
2022-05-18,0.2920075485325679
2022-05-19,0.27748408170559985
2022-05-20,0.26783428085291844
2022-05-23,0.27174922704581883
2022-05-24,0.25796939818513354
2022-05-25,0.24619012652825864
2022-05-26,0.2343830633812947
2022-05-27,0.22400927480798646
2022-05-31,0.21307670168275084
2022-06-01,0.21422535144095342
2022-06-02,0.22407501868793853
2022-06-03,0.22343921052492108
2022-06-06,0.21435841201128544
2022-06-07,0.20819409501712577
2022-06-08,0.21028181091097728
2022-06-09,0.22603415140195077
2022-06-10,0.24403554167374883
2022-06-13,0.2768867775824624
2022-06-14,0.27362499227957965
2022-06-15,0.2900095763936081
2022-06-16,0.2946552412566252
2022-06-17,0.2894240169716397
2022-06-21,0.303252298919563
2022-06-22,0.29263470129155905
2022-06-23,0.2790699202708884
2022-06-24,0.30707416758822287
2022-06-27,0.29109073430805044
2022-06-28,0.2763001302931289
2022-06-29,0.2623299769374442
2022-06-30,0.2518298925862456
2022-07-01,0.23938047288782766
2022-07-05,0.2712815452624819
2022-07-06,0.25831853592028586
2022-07-07,0.2571455175576662
2022-07-08,0.2447854260367639
2022-07-11,0.23944894236559078
2022-07-12,0.22749886768948982
2022-07-13,0.21649988822168018
2022-07-14,0.2303878981196712
2022-07-15,0.2372224652093473
2022-07-18,0.22820558888861597
2022-07-19,0.24190937476666755
