,"美国iShares安硕MSCI英国指数ETF - GJR-GARCH模型波动率预测"
1999-06-03,0.22248398863738486
1999-06-04,0.21399178115058534
1999-06-07,0.20457067531784706
1999-06-08,0.2024432987283106
1999-06-09,0.19527941827033385
1999-06-10,0.21297751148888935
1999-06-11,0.20967238444773792
1999-06-14,0.20708196638046492
1999-06-15,0.1986011963710189
1999-06-16,0.1917099058473505
1999-06-17,0.19606347543589042
1999-06-18,0.1922868201411631
1999-06-21,0.18579231308103145
1999-06-22,0.17864676319485895
1999-06-23,0.17486799020975796
1999-06-24,0.1812873663551876
1999-06-25,0.17386811553588544
1999-06-28,0.20543907125958297
1999-06-29,0.19979971171150376
1999-06-30,0.19590441955198457
1999-07-01,0.19456066508932374
1999-07-02,0.22272607750328655
1999-07-06,0.21542315474433105
1999-07-07,0.2065297266739101
1999-07-08,0.19738831880331723
1999-07-09,0.22513550319751882
1999-07-12,0.21489880129958847
1999-07-13,0.2121876650514822
1999-07-14,0.20953929464422658
1999-07-15,0.20314774623411405
1999-07-16,0.1951816415547323
1999-07-19,0.21333094290327415
1999-07-20,0.2389719330800167
1999-07-21,0.23063682359935503
1999-07-22,0.24407730824474447
1999-07-23,0.24383455948655022
1999-07-26,0.23529116090495197
1999-07-27,0.23794399341021408
1999-07-28,0.22986851981078224
1999-07-29,0.2719064096339033
1999-07-30,0.26855670239262325
1999-08-02,0.25821379049152277
1999-08-03,0.2474809810874363
1999-08-04,0.24186556679279506
1999-08-05,0.2902173516521712
1999-08-06,0.27627906109584205
1999-08-09,0.26885188561734136
1999-08-10,0.266413688837492
1999-08-11,0.25640214975697845
1999-08-12,0.2483778178501454
1999-08-13,0.23940294735027803
1999-08-16,0.2346087926741025
1999-08-17,0.22403683447147704
1999-08-18,0.21453039225247317
1999-08-19,0.2304965969380025
1999-08-20,0.22608102706773076
1999-08-23,0.22672359824244143
1999-08-24,0.2227901075003107
1999-08-25,0.21392717919890405
1999-08-26,0.2050859244316879
1999-08-27,0.19603050476902822
1999-08-30,0.18832686797162002
1999-08-31,0.2034846284120744
1999-09-01,0.19794155501056365
1999-09-02,0.19663940703734845
1999-09-03,0.1889167816791298
1999-09-07,0.18431110330091346
1999-09-08,0.18024474361267792
1999-09-09,0.1729116514292776
1999-09-10,0.18134949131442304
1999-09-13,0.21768940167128026
1999-09-14,0.20866966621912253
1999-09-15,0.21346786643427154
1999-09-16,0.2047323530856811
1999-09-17,0.19654365316641492
1999-09-20,0.19169590605957132
1999-09-21,0.20624028413479262
1999-09-22,0.1979659970803067
1999-09-23,0.19504641601424005
1999-09-24,0.19069473511347923
1999-09-27,0.1939431576519265
1999-09-28,0.18895706178918004
1999-09-29,0.19599142124082883
1999-09-30,0.19806990584134682
1999-10-01,0.19026556283258408
1999-10-04,0.18231469715851215
1999-10-05,0.17822562442028364
1999-10-06,0.17468920401673368
1999-10-07,0.17342658273748002
1999-10-08,0.1665233605233812
1999-10-11,0.16092867985539436
1999-10-12,0.17887654401849337
1999-10-13,0.2048289540079722
1999-10-14,0.19659781687495922
1999-10-15,0.2302197185299296
1999-10-18,0.2227784002097151
1999-10-19,0.21987431227862886
1999-10-20,0.21185124026070745
1999-10-21,0.24207724056589872
1999-10-22,0.2316869059744206
1999-10-25,0.2227133484998149
1999-10-26,0.21287206016760396
1999-10-27,0.21691165943766139
1999-10-28,0.2122590294899136
1999-10-29,0.21553057323730201
1999-11-01,0.20585650244770023
1999-11-02,0.1975263425470132
1999-11-03,0.19002926406214385
1999-11-04,0.1853163694874255
1999-11-05,0.183073067380213
1999-11-08,0.17877416591890452
1999-11-09,0.17218309673135745
1999-11-10,0.16738296687536638
1999-11-11,0.16448096911193102
1999-11-12,0.1669440564979778
1999-11-15,0.16245842914419675
1999-11-16,0.16035736091617372
1999-11-17,0.15406171036308794
1999-11-18,0.1520949845326926
