,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2022-01-13,0.15480632545215975
2022-01-14,0.16701476102428792
2022-01-18,0.1742127251379761
2022-01-19,0.17334897173043748
2022-01-20,0.1908708076160417
2022-01-21,0.18424477957326224
2022-01-24,0.17746947230439383
2022-01-25,0.17229824026959764
2022-01-26,0.1778113539681873
2022-01-27,0.17142660470300403
2022-01-28,0.18277763867607
2022-01-31,0.18213990007683653
2022-02-01,0.1772359478209768
2022-02-02,0.17083006292804556
2022-02-03,0.16615643472342562
2022-02-04,0.1718717358962782
2022-02-07,0.1661438461093278
2022-02-08,0.16529220308290404
2022-02-09,0.16533359005356413
2022-02-10,0.1606938567587448
2022-02-11,0.15816829416795264
2022-02-14,0.15551659949986046
2022-02-15,0.16292063957645145
2022-02-16,0.1601786615002136
2022-02-17,0.1580246461790059
2022-02-18,0.15416375293823126
2022-02-22,0.19325268846771576
2022-02-23,0.1988525282715812
2022-02-24,0.19238272791495603
2022-02-25,0.18610969990841422
2022-02-28,0.20359147624593718
2022-03-01,0.1980077453030563
2022-03-02,0.1935463200373492
2022-03-03,0.18624525765774547
2022-03-04,0.18977879544353737
2022-03-07,0.23557090397585181
2022-03-08,0.22634866202387854
2022-03-09,0.21764905513233912
2022-03-10,0.20930254179058602
2022-03-11,0.20265144559069892
2022-03-14,0.2009001602786817
2022-03-15,0.21020120361215824
2022-03-16,0.35890749225949575
2022-03-17,0.3457156577304534
2022-03-18,0.35395247477592245
2022-03-21,0.3437579869617577
2022-03-22,0.32843182854284997
2022-03-23,0.3144957564101621
2022-03-24,0.302348495613919
2022-03-25,0.29248180866508605
2022-03-28,0.2797653116453146
2022-03-29,0.27241085661184655
2022-03-30,0.2612159796030863
2022-03-31,0.265591143677646
2022-04-01,0.26401363601147576
2022-04-04,0.25505513051103285
2022-04-05,0.24897610728742628
2022-04-06,0.24575414787954242
2022-04-07,0.23775609266641307
2022-04-08,0.23234998256939896
2022-04-11,0.24828659005270504
2022-04-12,0.2381925338880293
2022-04-13,0.22846494435689693
2022-04-14,0.2191589505359067
2022-04-18,0.2113560616589929
2022-04-19,0.20299691032131498
2022-04-20,0.19562418255420266
2022-04-21,0.1965896772467975
2022-04-22,0.18901806580324537
